job_id,job_title,job_date,job_loc,city_id,job_summary,job_salary,job_education,job_url,company_name,company_type,search_time,search_position,source,search_qualified
605ae24c33561985,Cost Controller,2022-06-16,Tilburg,805.0,"Je zet jouw kennis van excel en je analytische vaardigheden in om logistieke gegevens (KPI's, trends, actual versus budget, prognose) te analyseren.",[],master,https://www.indeed.nl/rc/clk?jk=605ae24c33561985&fccid=5e02ddc47e9d0776&vjs=3,FIT,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
6677caca382d0a81,Senior Business Controller,2022-05-23,Breda,8.0,"Identify (business and financial) risks and opportunities.
In this position, you act as a strong business partner by managing and deploying financial measures…",[],master,https://www.indeed.nl/rc/clk?jk=6677caca382d0a81&fccid=1a620804436aa753&vjs=3,YER,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,True
680c56100230a523,Business Controller,2022-06-13,Hybride werken in Oosterhout+1 plaats,42.0,"Jij zet de business case op, die de financiële impact van het nieuwe initiatief in kaart brengt om te bepalen of het een slimme investering is.",[],master,https://www.indeed.nl/rc/clk?jk=680c56100230a523&fccid=f3011e654af3c273&vjs=3,PharmaPartners,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
68468e8e8478511a,Controller with HR Focus,2022-06-17,Rotterdam+7 plaatsen,4.0,"Being a financial business partner for the Human resource organisation.
Minimum of five years experience in a controller / analyst role.",[],master,https://www.indeed.nl/pagead/clk?mo=r&ad=-6NYlbfkN0B0_NUWIITP5lMBmCiZbKrlgDs7YtBLfNsX81ADnqj9icBA3YdtVSE7UeFD3ATGMyAf0QuTkQ_4TNeRsKSwUe-DS9sx12d_HDwpaF8isWGfjonRYH-thJ7o3HWRbPlUnqXBer69HPLghfyJG7fduHbPxL0uZyU3lIWmodcTnapYVMs6x-TIS2LZ1dyEgVURGRiMe6uPEMWzGU6lpafmmblOCfl_a9cuwedLTp8xiidf82iAVtyRQJ0zoiM-M-qt7524lj_PVfZonKL1mFYJAQ6Lbh1TL1SCZYyIR6S9dDn-oNPtDfPyN6iqHcS3aZgPYFc84WN5jKv-A1yc5Uu3lGRzuTww9TsoEoOBnwKf0Nd2UXV7lI4ylu7FZCJ0PABtL0KBg96VIih5S289apfN7uNwkhDHRKWnYAkifQJAZN7sNqbpm5APhHPDyYlg3_8yYQ0Kbc7dZNnrb7AJ4_pvKPGCXTACuwcvON2myb87L7qLnmDfD-ROORQtJIFlFSII2TtTXL_vQHNBA8qYKmPfjp3CTKu0DVw48q3k42S5NPsEOa84xYrsoK_U4eK1ulGoGZnIUvG5sFx36aDbuOYPLNOK-HgUCURbBsDwfkECV_o2KyJRnQAJLVWyl8cc39F27lCFeMOtNeE5jwDKm1N6dNjJbSMKtGWqbW9mVaI02f3HxL-S0_h2ifBHT12b4kCn2UjD30IZdrlcWl4dhAirVtf1MsANIFBVu2Y=&xkcb=SoC9-_M3cGkzmXxGkB0LbzkdCdPP&p=8&fvj=0&vjs=3,Robert Walters,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,True
6980b3630eee9a35,Controller (Korean Speaking),2022-05-23,Delft+1 plaats,20.0,"Budgeting, analyzing budget vs actual financial data.
For this role we are looking for a candidate who is fluent in English with strong analytical skills and…",[],master,https://www.indeed.nl/rc/clk?jk=6980b3630eee9a35&fccid=05e4bd267a4055c7&vjs=3,Samsung SDS Cello Logstics,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
6bd730b3bc16dcf7,Site Business Controller,2022-05-23,Den Bosch,14.0,"Robust financial reporting skills (US GAAP or IFRS).
Ensure integrity of monthly financial close for the site Den Bosch.
Proficiency in Dutch and English.",[],master,https://www.indeed.nl/rc/clk?jk=6bd730b3bc16dcf7&fccid=87f9af507c98d473&vjs=3,Industrial Automation Business (IAB),employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
6e789feced44bd4e,Financial Controller,2022-06-10,Thuiswerken in Postcode 3316 in Dordrecht+1 plaats,812.0,"Optimizing financial reporting processes and further developing our digital workflows.
Performing financial analyses and reviewing against budget for corporate …",[],master,https://www.indeed.nl/rc/clk?jk=6e789feced44bd4e&fccid=65d19d69461f548c&vjs=3,B&S,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
6f8007a9f3d62e1d,Project Controller,2022-05-23,Postcode 5107 in Dongen,120.0,We are looking for a Project Controller who will focus on (financial) data collection and reporting for our project execution department.,[],master,https://www.indeed.nl/rc/clk?jk=6f8007a9f3d62e1d&fccid=e0c6751b2026341e&vjs=3,Protix,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
6fb2d0b75eb53f9a,Financial Controller,2022-05-23,Postcode 3011 in Rotterdam,4.0,"Analyzing the monthly financial statements and supporting data;
Good knowledge of financial legislation, regulation and practices;",[],master,https://www.indeed.nl/company/Shypple/jobs/Financial-Controller-6fb2d0b75eb53f9a?fccid=97a5e6937d6b5f36&vjs=3,Shypple,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
71cd36187607b35a,Senior finance assistant,2022-05-23,Amsterdam,2.0,In the role of senior finance assistant you are assisting the financial controller Europe to ensure that the organization maintains its high standards of…,"['3.000', '4.000']",master,https://www.indeed.nl/rc/clk?jk=71cd36187607b35a&fccid=be6690c68f822fbe&vjs=3,Primadeta,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,True
